,Working_Year,Designation,Experience,Experience Level ,Employment_Status,Employment Type ,Salary_In_IDR,Employee_Location,Employee Location,Employee Long,Employee Lat,Company_Location,Company Location ,Company Long ,Company Lat,Company_Size,Company Size ,Remote_Working_Ratio,Remote_Work_Category
1,2020,Data Scientist,MI,Mid ,FT,Full-time,"1,175,551,456.32",DE,Germany,-55,-10,DE,Germany,-55,-10,L,Large ,0,On-site
2,2020,Machine Learning Scientist,SE,Senior ,FT,Full-time,"3,828,534,234.20",JP,Japan,36,31,JP,Japan,36,31,S,Small,0,On-site
3,2020,Big Data Engineer,SE,Senior ,FT,Full-time,"1,605,392,724.10",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,M,Medium ,50,Hybrid
4,2020,Product Data Analyst,MI,Mid ,FT,Full-time,"294,502,633.40",HN,Honduras,-59,5,HN,Honduras,-59,5,S,Small,0,On-site
5,2020,Machine Learning Engineer,SE,Senior ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,50,Hybrid
6,2020,Data Analyst,EN,Entry ,FT,Full-time,"1,060,209,480.24",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
7,2020,Lead Data Scientist,SE,Senior ,FT,Full-time,"2,797,775,017.30",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
8,2020,Data Scientist,MI,Mid ,FT,Full-time,"526,202,564.96",HU,Hungary,20,47,HU,Hungary,20,47,L,Large ,50,Hybrid
9,2020,Business Data Analyst,MI,Mid ,FT,Full-time,"1,987,892,867.98",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
10,2020,Lead Data Engineer,SE,Senior ,FT,Full-time,"1,840,641,551.28",NZ,New Zealand,-61.1333,13.8833,NZ,New Zealand,-61.1333,13.8833,S,Small,50,Hybrid
11,2020,Data Scientist,EN,Entry ,FT,Full-time,"755,708,425.16",FR,France,2,46,FR,France,2,46,S,Small,0,On-site
12,2020,Data Scientist,MI,Mid ,FT,Full-time,"596,088,068.18",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,0,On-site
13,2020,Data Scientist,EN,Entry ,FT,Full-time,"587,768,325.76",FR,France,2,46,FR,France,2,46,M,Medium ,0,On-site
14,2020,Lead Data Analyst,MI,Mid ,FT,Full-time,"1,281,086,547.82",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
15,2020,Data Analyst,MI,Mid ,FT,Full-time,"1,251,636,284.48",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
16,2020,Data Analyst,MI,Mid ,FT,Full-time,"117,801,053.36",PK,Pakistan,-61.1333,13.8833,PK,Pakistan,-61.1333,13.8833,L,Large ,50,Hybrid
17,2020,Data Engineer,EN,Entry ,FT,Full-time,"613,876,035.38",JP,Japan,36,31,JP,Japan,36,31,S,Small,100,Remote 
18,2020,Big Data Engineer,SE,Senior ,FT,Full-time,"1,679,357,134.78",PL,Poland,-61.1333,13.8833,GB,United Kingdom,11.75,-1,S,Small,100,Remote 
19,2020,Data Science Consultant,EN,Entry ,FT,Full-time,"84,036,301.18",IN,India,34.75,31.5,IN,India,34.75,31.5,M,Medium ,50,Hybrid
20,2020,Lead Data Engineer,MI,Mid ,FT,Full-time,"824,607,373.52",PT,Portugal,-56.3333,46.8333,US,United States,166.6,19.2833,M,Medium ,100,Remote 
21,2020,Machine Learning Engineer,MI,Mid ,FT,Full-time,"638,054,679.56",CN,China,-55,-10,CN,China,-55,-10,M,Medium ,0,On-site
22,2020,Product Data Analyst,MI,Mid ,FT,Full-time,"89,410,998.76",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,100,Remote 
23,2020,Data Engineer,SE,Senior ,FT,Full-time,"705,318,992.94",GR,Greece,-10,11,GR,Greece,-10,11,L,Large ,50,Hybrid
24,2020,BI Data Analyst,MI,Mid ,FT,Full-time,"1,443,062,903.66",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,0,On-site
25,2020,Lead Data Scientist,MI,Mid ,FT,Full-time,"1,693,390,234.58",AE,United Arab Emirates,54,24,AE,United Arab Emirates,54,24,L,Large ,0,On-site
26,2020,Director of Data Science,EX,Executive ,FT,Full-time,"4,785,667,885.28",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
27,2020,Research Scientist,EN,Entry ,FT,Full-time,"618,455,530.14",NL,Netherlands,-61.1333,13.8833,NL,Netherlands,-61.1333,13.8833,L,Large ,50,Hybrid
28,2020,Data Engineer,SE,Senior ,FT,Full-time,"493,453,977.24",MX,Mexico,-61.1333,13.8833,MX,Mexico,-61.1333,13.8833,S,Small,0,On-site
29,2020,Business Data Analyst,EN,Entry ,CT,Contract,"1,472,513,167.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
30,2020,Machine Learning Manager,SE,Senior ,FT,Full-time,"1,724,371,869.42",CA,Canada,-55,-10,CA,Canada,-55,-10,L,Large ,50,Hybrid
31,2020,Data Engineering Manager,MI,Mid ,FT,Full-time,"873,244,472.60",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,100,Remote 
32,2020,Big Data Engineer,EN,Entry ,FT,Full-time,"1,030,759,216.90",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
33,2020,Data Scientist,SE,Senior ,FT,Full-time,"1,007,611,356.92",GR,Greece,-10,11,US,United States,166.6,19.2833,L,Large ,100,Remote 
34,2020,Research Scientist,MI,Mid ,FT,Full-time,"6,626,309,251.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,0,On-site
35,2020,Data Analyst,MI,Mid ,FT,Full-time,"688,532,385.40",FR,France,2,46,FR,France,2,46,L,Large ,50,Hybrid
36,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,091,574,004.22",AT,Austria,45,40,AT,Austria,45,40,L,Large ,50,Hybrid
37,2020,Data Science Consultant,MI,Mid ,FT,Full-time,"1,516,688,654.54",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
38,2020,Machine Learning Engineer,EN,Entry ,FT,Full-time,"3,681,282,917.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,50,Hybrid
39,2020,Data Analyst,EN,Entry ,FT,Full-time,"147,251,316.70",NG,Nigeria,-61.1333,13.8833,NG,Nigeria,-61.1333,13.8833,S,Small,100,Remote 
40,2020,Machine Learning Engineer,EN,Entry ,FT,Full-time,"2,032,068,170.46",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
41,2020,Data Scientist,MI,Mid ,FT,Full-time,"673,821,966.00",PH,Philippines,-61.1333,13.8833,US,United States,166.6,19.2833,S,Small,100,Remote 
42,2020,Data Engineering Manager,EX,Executive ,FT,Full-time,"1,175,551,456.32",ES,Spain,30,27,ES,Spain,30,27,L,Large ,50,Hybrid
43,2020,Machine Learning Infrastructure Engineer,MI,Mid ,FT,Full-time,"738,907,197.88",PT,Portugal,-56.3333,46.8333,PT,Portugal,-56.3333,46.8333,M,Medium ,0,On-site
44,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,560,863,957.02",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
45,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,662,055,135.14",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,L,Large ,50,Hybrid
46,2020,ML Engineer,EN,Entry ,PT,Part-time,"235,101,519.42",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,100,Remote 
47,2020,Data Scientist,MI,Mid ,FT,Full-time,"1,133,216,760.60",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,S,Small,100,Remote 
48,2020,Data Engineer,SE,Senior ,FT,Full-time,"2,768,324,753.96",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
49,2020,Data Scientist,MI,Mid ,FT,Full-time,"1,546,138,917.88",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
50,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,032,805,980.50",FR,France,2,46,FR,France,2,46,L,Large ,50,Hybrid
51,2020,Data Analyst,EN,Entry ,FT,Full-time,"89,410,998.76",IN,India,34.75,31.5,IN,India,34.75,31.5,S,Small,0,On-site
52,2020,Data Analyst,EN,Entry ,FT,Full-time,"1,339,987,074.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
53,2020,AI Scientist,EN,Entry ,FT,Full-time,"675,824,685.32",DK,Denmark,-55,-10,DK,Denmark,-55,-10,S,Small,50,Hybrid
54,2020,Data Engineer,EN,Entry ,FT,Full-time,"806,083,237.64",PK,Pakistan,-61.1333,13.8833,DE,Germany,-55,-10,L,Large ,100,Remote 
55,2020,Computer Vision Engineer,SE,Senior ,FL,Freelance,"883,507,900.20",RU,Russian Federation,-56.3333,46.8333,US,United States,166.6,19.2833,S,Small,100,Remote 
56,2020,Principal Data Scientist,SE,Senior ,FT,Full-time,"2,183,162,813.24",DE,Germany,-55,-10,DE,Germany,-55,-10,M,Medium ,100,Remote 
57,2020,Data Scientist,MI,Mid ,FT,Full-time,"570,981,718.22",ES,Spain,30,27,ES,Spain,30,27,M,Medium ,100,Remote 
58,2020,Data Scientist,MI,Mid ,FT,Full-time,"1,737,565,537.06",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
59,2020,Data Scientist,SE,Senior ,FT,Full-time,"1,767,015,800.40",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,50,Hybrid
60,2020,Data Scientist,MI,Mid ,FT,Full-time,"2,037,221,906.40",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
61,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,619,764,483.70",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
62,2020,Data Engineer,MI,Mid ,FT,Full-time,"1,926,047,296.46",ES,Spain,30,27,US,United States,166.6,19.2833,M,Medium ,100,Remote 
63,2020,Data Scientist,EN,Entry ,PT,Part-time,"319,078,786.46",IT,Italy,12.8333,42.8333,IT,Italy,12.8333,42.8333,S,Small,50,Hybrid
64,2020,Data Scientist,SE,Senior ,FT,Full-time,"6,066,754,248.04",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
65,2020,Machine Learning Engineer,SE,Senior ,FT,Full-time,"671,730,973.06",HR,Croatia,-59,5,HR,Croatia,-59,5,S,Small,100,Remote 
66,2020,Data Scientist,EN,Entry ,FT,Full-time,"923,648,524.56",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,50,Hybrid
67,2020,Data Scientist,EN,Entry ,FT,Full-time,"725,477,763.80",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,0,On-site
68,2020,Data Science Manager,SE,Senior ,FT,Full-time,"2,800,720,062.14",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
69,2020,Data Scientist,EN,Entry ,FT,Full-time,"1,546,138,917.88",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
70,2020,Data Scientist,SE,Senior ,FT,Full-time,"1,343,476,750.92",AT,Austria,45,40,AT,Austria,45,40,S,Small,0,On-site
71,2020,Data Scientist,MI,Mid ,FT,Full-time,"923,648,524.56",FR,France,2,46,LU,Luxembourg,105,18,S,Small,50,Hybrid
72,2020,Data Scientist,MI,Mid ,FT,Full-time,"621,356,345.64",FR,France,2,46,FR,France,2,46,S,Small,50,Hybrid
73,2021,Research Scientist,EN,Entry ,FT,Full-time,"1,215,235,722.72",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,L,Large ,50,Hybrid
74,2021,BI Data Analyst,EX,Executive ,FT,Full-time,"2,208,769,750.50",IN,India,34.75,31.5,US,United States,166.6,19.2833,L,Large ,100,Remote 
75,2021,Head of Data,EX,Executive ,FT,Full-time,"3,460,406,034.98",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
76,2021,Data Scientist,SE,Senior ,FT,Full-time,"783,259,232.66",FR,France,2,46,FR,France,2,46,L,Large ,50,Hybrid
77,2021,BI Data Analyst,MI,Mid ,FT,Full-time,"1,472,513,167.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
78,2021,3D Computer Vision Researcher,MI,Mid ,PT,Part-time,"79,648,158.46",IN,India,34.75,31.5,IN,India,34.75,31.5,M,Medium ,50,Hybrid
79,2021,ML Engineer,MI,Mid ,CT,Contract,"3,975,785,550.90",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
80,2021,Data Analyst,EN,Entry ,FT,Full-time,"1,178,010,533.60",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
81,2021,Data Analytics Engineer,SE,Senior ,FT,Full-time,"1,166,186,309.96",DE,Germany,-55,-10,DE,Germany,-55,-10,L,Large ,100,Remote 
82,2021,Data Engineer,MI,Mid ,FT,Full-time,"2,061,518,433.80",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
83,2021,Applied Data Scientist,MI,Mid ,FT,Full-time,"798,661,776.46",GB,United Kingdom,11.75,-1,CA,Canada,-55,-10,L,Large ,50,Hybrid
84,2021,Machine Learning Engineer,MI,Mid ,FT,Full-time,"696,233,657.30",ES,Spain,30,27,ES,Spain,30,27,S,Small,100,Remote 
85,2021,Director of Data Science,EX,Executive ,FT,Full-time,"2,262,766,742.36",IT,Italy,12.8333,42.8333,PL,Poland,-61.1333,13.8833,L,Large ,100,Remote 
86,2021,Data Engineer,MI,Mid ,FT,Full-time,"419,312,834.26",PL,Poland,-61.1333,13.8833,PL,Poland,-61.1333,13.8833,L,Large ,100,Remote 
87,2021,Data Analyst,EN,Entry ,FT,Full-time,"870,284,808.02",FR,France,2,46,FR,France,2,46,M,Medium ,50,Hybrid
88,2021,Data Analytics Engineer,MI,Mid ,FT,Full-time,"1,619,764,483.70",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
89,2021,Lead Data Analyst,SE,Senior ,FT,Full-time,"2,503,272,383.90",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
90,2021,Data Analyst,SE,Senior ,FT,Full-time,"1,178,010,533.60",BG,Bulgaria,47.5,40.5,US,United States,166.6,19.2833,S,Small,100,Remote 
91,2021,Marketing Data Analyst,SE,Senior ,FT,Full-time,"1,305,441,739.24",GR,Greece,-10,11,DK,Denmark,-55,-10,L,Large ,100,Remote 
92,2021,Data Science Consultant,EN,Entry ,FT,Full-time,"1,131,375,968.78",DE,Germany,-55,-10,DE,Germany,-55,-10,S,Small,100,Remote 
93,2021,Lead Data Analyst,MI,Mid ,FT,Full-time,"288,745,046.68",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,100,Remote 
94,2021,Lead Data Engineer,SE,Senior ,FT,Full-time,"4,064,136,340.92",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
95,2021,Data Scientist,EN,Entry ,FT,Full-time,"438,087,356.32",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,50,Hybrid
96,2021,Cloud Data Engineer,MI,Mid ,FT,Full-time,"1,314,865,919.74",SG,Singapore,159,-8,SG,Singapore,159,-8,L,Large ,50,Hybrid
97,2021,AI Scientist,EN,Entry ,PT,Part-time,"176,701,580.04",BR,Brazil,47.5,40.5,US,United States,166.6,19.2833,S,Small,100,Remote 
98,2021,Financial Data Analyst,MI,Mid ,FT,Full-time,"6,626,309,251.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
99,2021,Computer Vision Software Engineer,EN,Entry ,FT,Full-time,"1,030,759,216.90",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
100,2021,Computer Vision Software Engineer,MI,Mid ,FT,Full-time,"1,409,872,392.66",DE,Germany,-55,-10,US,United States,166.6,19.2833,S,Small,100,Remote 
101,2021,Data Analyst,MI,Mid ,FT,Full-time,"1,104,384,967.78",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
102,2021,Data Engineer,SE,Senior ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
103,2021,BI Data Analyst,MI,Mid ,FT,Full-time,"533,918,641.66",HU,Hungary,20,47,US,United States,166.6,19.2833,L,Large ,50,Hybrid
104,2021,Data Analyst,MI,Mid ,FT,Full-time,"912,958,163.54",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
105,2021,Data Scientist,MI,Mid ,FT,Full-time,"1,074,934,704.44",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
106,2021,Data Analyst,MI,Mid ,FT,Full-time,"758,624,045.46",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,L,Large ,50,Hybrid
107,2021,Research Scientist,MI,Mid ,FT,Full-time,"2,760,108,089.96",CA,Canada,-55,-10,CA,Canada,-55,-10,L,Large ,100,Remote 
108,2021,Data Engineer,SE,Senior ,FT,Full-time,"1,693,390,234.58",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
109,2021,Data Engineer,SE,Senior ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
110,2021,Data Engineer,EN,Entry ,FT,Full-time,"448,056,353.46",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,100,Remote 
111,2021,Machine Learning Engineer,SE,Senior ,FT,Full-time,"1,392,467,314.60",DE,Germany,-55,-10,DE,Germany,-55,-10,L,Large ,50,Hybrid
112,2021,Director of Data Engineering,SE,Senior ,FT,Full-time,"1,670,949,118.74",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,M,Medium ,100,Remote 
113,2021,Lead Data Engineer,SE,Senior ,FT,Full-time,"1,519,044,653.40",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,S,Small,100,Remote 
114,2021,AI Scientist,EN,Entry ,PT,Part-time,"176,701,580.04",PK,Pakistan,-61.1333,13.8833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
115,2021,Data Engineer,MI,Mid ,FT,Full-time,"668,388,419.34",NL,Netherlands,-61.1333,13.8833,NL,Netherlands,-61.1333,13.8833,L,Large ,100,Remote 
116,2021,Machine Learning Scientist,EN,Entry ,FT,Full-time,"3,313,154,718.28",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
117,2021,Data Scientist,MI,Mid ,FT,Full-time,"736,256,583.50",NG,Nigeria,-61.1333,13.8833,NG,Nigeria,-61.1333,13.8833,L,Large ,100,Remote 
118,2021,Data Science Engineer,MI,Mid ,FT,Full-time,"591,788,384.14",GR,Greece,-10,11,GR,Greece,-10,11,M,Medium ,100,Remote 
119,2021,Data Analyst,EN,Entry ,FT,Full-time,"1,325,261,850.30",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
120,2021,Data Engineer,MI,Mid ,FT,Full-time,"2,945,026,334.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
121,2021,Big Data Engineer,MI,Mid ,FT,Full-time,"883,507,900.20",ES,Spain,30,27,RO,Romania,-56.3333,46.8333,M,Medium ,50,Hybrid
122,2021,Principal Data Engineer,SE,Senior ,FT,Full-time,"2,945,026,334.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
123,2021,Data Analyst,EN,Entry ,FT,Full-time,"736,256,583.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
124,2021,Applied Data Scientist,EN,Entry ,FT,Full-time,"1,620,309,300.34",GB,United Kingdom,11.75,-1,GB,United Kingdom,11.75,-1,L,Large ,0,On-site
125,2021,Data Analyst,EN,Entry ,PT,Part-time,"152,464,086.78",ES,Spain,30,27,ES,Spain,30,27,M,Medium ,50,Hybrid
126,2021,Principal Data Scientist,MI,Mid ,FT,Full-time,"2,223,494,974.70",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
127,2021,Machine Learning Scientist,SE,Senior ,FT,Full-time,"1,767,015,800.40",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,50,Hybrid
128,2021,Data Scientist,MI,Mid ,FT,Full-time,"139,388,117.30",IN,India,34.75,31.5,IN,India,34.75,31.5,S,Small,0,On-site
129,2021,Machine Learning Engineer,EN,Entry ,FT,Full-time,"294,502,633.40",IN,India,34.75,31.5,IN,India,34.75,31.5,S,Small,100,Remote 
130,2021,Lead Data Scientist,SE,Senior ,FT,Full-time,"597,398,663.10",IN,India,34.75,31.5,IN,India,34.75,31.5,L,Large ,50,Hybrid
131,2021,Machine Learning Developer,EN,Entry ,FT,Full-time,"1,472,513,167.00",IQ,Iraq,34.75,31.5,IQ,Iraq,34.75,31.5,S,Small,50,Hybrid
132,2021,Data Scientist,EN,Entry ,FT,Full-time,"731,043,813.42",FR,France,2,46,FR,France,2,46,M,Medium ,50,Hybrid
133,2021,Applied Machine Learning Scientist,MI,Mid ,FT,Full-time,"565,445,093.14",VN,Viet Nam,-64.8333,18.3333,US,United States,166.6,19.2833,M,Medium ,100,Remote 
134,2021,Computer Vision Engineer,SE,Senior ,FT,Full-time,"353,403,160.08",BR,Brazil,47.5,40.5,BR,Brazil,47.5,40.5,M,Medium ,100,Remote 
135,2021,Data Scientist,EN,Entry ,FT,Full-time,"1,472,513,167.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,0,On-site
136,2021,Data Analyst,MI,Mid ,FT,Full-time,"1,325,261,850.30",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
137,2021,ML Engineer,MI,Mid ,FT,Full-time,"938,152,787.12",JP,Japan,36,31,JP,Japan,36,31,S,Small,50,Hybrid
138,2021,ML Engineer,MI,Mid ,FT,Full-time,"1,139,195,123.90",JP,Japan,36,31,JP,Japan,36,31,S,Small,50,Hybrid
139,2021,Principal Data Scientist,SE,Senior ,FT,Full-time,"3,239,528,967.40",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
140,2021,Data Scientist,EN,Entry ,FT,Full-time,"1,178,010,533.60",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
141,2021,Data Analyst,MI,Mid ,FT,Full-time,"1,987,892,867.98",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
142,2021,Data Science Manager,SE,Senior ,FT,Full-time,"3,534,031,600.80",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
143,2021,Data Engineering Manager,SE,Senior ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,0,On-site
144,2021,Data Scientist,MI,Mid ,FT,Full-time,"1,214,823,409.04",US,United States,166.6,19.2833,US,United States,166.6,19.2833,S,Small,100,Remote 
145,2021,Data Engineer,MI,Mid ,FT,Full-time,"1,472,513,167.00",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
146,2021,Machine Learning Engineer,SE,Senior ,FT,Full-time,"1,218,416,348.94",BE,Belgium,47.5,40.5,BE,Belgium,47.5,40.5,M,Medium ,50,Hybrid
147,2021,Research Scientist,MI,Mid ,FT,Full-time,"922,514,847.00",FR,France,2,46,FR,France,2,46,M,Medium ,50,Hybrid
148,2021,Data Engineer,MI,Mid ,FT,Full-time,"1,325,261,850.30",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
149,2021,Data Engineering Manager,SE,Senior ,FT,Full-time,"2,252,945,238.04",US,United States,166.6,19.2833,US,United States,166.6,19.2833,L,Large ,100,Remote 
150,2021,Cloud Data Engineer,SE,Senior ,FT,Full-time,"2,356,021,067.20",BR,Brazil,47.5,40.5,US,United States,166.6,19.2833,S,Small,100,Remote 
151,2021,Director of Data Science,SE,Senior ,FT,Full-time,"2,473,822,120.56",JP,Japan,36,31,JP,Japan,36,31,S,Small,0,On-site
152,2021,Data Scientist,MI,Mid ,FT,Full-time,"2,208,769,750.50",US,United States,166.6,19.2833,US,United States,166.6,19.2833,M,Medium ,100,Remote 
153,2021,Data Scientist,MI,Mid ,FT,Full-time,"1,115,782,072.94",CA,Canada,-55,-10,CA,Canada,-55,-10,L,Large ,100,Remote 
154,2021,Data Scientist,EN,Entry ,FT,Full-time,"197,316,708.86",UA,Ukraine,-2,54,UA,Ukraine,-2,54,L,Large ,100,Remote 
